Serial number,Barcode,Product name,Brand,Serving size (g),Sugar per serving (g),Saturated fat per serving (g),Sodium per serving (mg),Protein per serving (g),Fiber per serving (g),Calories per serving (kcal),Scores
146,8906161391297,Let's Try butter murukku,Let's Try,100 g,0.88 g,16.54 g,762 mg,10.08 g,3.86 g,568.83 kcal,
147,8904063252517,Haldiram's lite chiwda,Haldiram,100 g,4 g,12.5 g,580 mg,6 g,NULL,516 kcal,
148,8906143040540,Yu whole wheat noodles,Yu,100 g,0 g,0 g,2.3 mg,10.8 g,9 g,351 kcal,
149,8909081012372,Yipee pan asian noodoles,Yipee,100 g,3.2 g,5.7 g,1642 mg,8.6 g,NULL,437 kcal,
150,8906143041370,Yu korean ramen noodles - creamy hot sauce,Yu,100 g,9.2 g,7 g,837 mg,11.5 g,10.3 g,314 kcal,
151,8901014000708,Nissin Geki Korean ramen - carbonara,Nissin Gekki,100 g,8 g,7.36 g,1740 mg,8 g,NULL,461 kcal,
152,8909081009020,Yipee Tom Yum noodles,Yipee,100 g,3 g,9.4 g,1450 mg,9.2 g,NULL,450 kcal,
153,8906013032194,Wai Wai masala noodles,Wai Wai,100 g,2.1 g,21 g,1380 mg,9.4 g,3 g,470.5 kcal,
154,8909106058828,Knorr ramen,Knorr,100 g,6.7 g,5.7 g,1220 mg,8.5 g,5.6 g,395 kcal,
155,8994963003753,Indomine chicken noodles,Indomine,100 g,3 g,9 g,1807 mg,11 g,NULL,455 kcal,
156,74603003287,Samyang Kimchi ramen,Samyang,100 g,3.3 g,5.8 g,1708.3 mg,9.1 g,1.6 g,425 kcal,
157,8994963004095,Indomine vegetable flavor,Indomine,100 g,3 g,8 g,1677 mg,11 g,NULL,444 kcal,
158,8909106034952,Kwality walls magnum brownie ice cream stick,Kwality walls,100 g,25 g,13.27 g,77 mg,5.2 g,2.2 g,210 kcal,
159,8909106034921,Kwality walls magnum almond ice cream stick,Kwality walls,100 g,26.6 g,13.5 g,70 mg,5.3 g,1.1 g,353 kcal,
160,8909106034938,Kwality walls magnum chocolate truffle ice cream stick,Kwality walls,100 g,26 g,12.8 g,71 mg,4.7 g,2.3 g,322 kcal,
161,8909106045101,Kwality walls feast cadbury crackle frozeen dessert bar,Kwality walls,100 g,35.3 g,19.4 g,60.3 mg,3.9 g,1.55 g,406.8 kcal,
